agent,strzelanie,hakowanie,walka wręcz,pływanie,wspinaczka,inteligencja,wiedza
agent 001,59,226,86,117,123,82,139
agent 002,135,151,95,86,188,17,246
agent 003,21,175,95,160,153,33,26
agent 004,179,56,138,86,140,113,8
agent 005,196,126,29,97,128,135,239
agent 006,39,111,38,170,103,239,61
agent 007,223,98,246,172,133,198,141
agent 008,41,169,82,214,212,13,245
agent 009,130,127,37,142,56,22,206
agent 0010,56,40,192,170,7,170,53
agent 0011,102,249,34,161,9,199,222
agent 0012,10,183,115,36,139,126,202
agent 0013,201,39,130,237,187,105,197
agent 0014,66,9,165,88,188,223,244
agent 0015,60,112,179,181,29,165,157
agent 0016,150,5,76,185,23,199,136
agent 0017,97,53,124,3,24,41,240
agent 0018,185,129,136,53,158,66,65
agent 0019,179,234,62,188,127,112,56
agent 0020,243,26,222,61,101,234,217
agent 0021,46,93,102,225,16,126,99
agent 0022,219,122,50,49,83,235,238
agent 0023,91,245,164,214,107,211,84
agent 0024,33,226,10,57,73,20,193
agent 0025,164,110,24,65,223,119,58
agent 0026,208,32,111,67,34,66,42
agent 0027,157,179,25,209,172,191,134
agent 0028,117,47,124,57,1,166,18
agent 0029,219,123,146,203,179,100,235
agent 0030,4,180,32,45,124,32,100
agent 0031,59,80,0,65,45,59,42
agent 0032,81,248,57,61,43,97,218
agent 0033,64,180,96,12,139,229,34
agent 0034,116,28,221,114,189,119,128
agent 0035,38,34,179,124,111,16,76
